name,model,bestsell,type1,type2,type3,link,price,color,saicanh,congsuat,canhquat,hengio,dieukhien,luuluonggio,chieucao,shopee,showimg
Quạt Bàn Senko B102,b102,,quat,ban,,quat-ban-senko-b102,230.000 đ,Xanh Ngọc - Cốm - Môn - Kem Nâu,20,28,3,Không,Không,23.9,40,https://shopee.vn/Qu%E1%BA%A1t-B%C3%A0n-Senko-B102-i.837796096.10997484048,quat-ban-senko-b102-mau-com-active.webp
Quạt Bàn Senko B1210,b1210,,quat,ban,,quat-ban-senko-b1210,280.000 đ,Đen Cam - Đen Két,29,40,3,Không,Không,37.9,59,https://shopee.vn/Qu%E1%BA%A1t-B%C3%A0n-Senko-B1210-i.837796096.18533532177,quat-ban-senko-b1210-mau-den-cam-active.webp
Quạt Bàn Senko B1213,b1213,,quat,ban,,quat-ban-senko-b1213,280.000 đ,Cốm - Kem Môn - Xám Đồng - Kem Nâu - Xanh Ngọc,29,40,3,Không,Không,37.9,54,https://shopee.vn/Qu%E1%BA%A1t-B%C3%A0n-Senko-B1213-i.837796096.21533532942,quat-ban-senko-b1213-mau-com-active.webp
Quạt Bàn Senko B1216,b1216,,quat,ban,,quat-ban-senko-b1216,280.000 đ,Cốm - Kem Môn - Kem Nâu,29,40,3,Không,Không,37.9,54,https://shopee.vn/Qu%E1%BA%A1t-B%C3%A0n-Senko-B1216-i.837796096.21533537014,quat-ban-senko-b1216-mau-kem-mon-active.webp
Quạt Bàn Senko B1612,b1612,,quat,ban,,quat-ban-senko-b1612,310.000 đ,Đen Cam - Kem Môn - Kem Cốm - Đen Két,39,47,3,Không,Không,64.4,65,https://shopee.vn/Qu%E1%BA%A1t-B%C3%A0n-Senko-B1612-i.837796096.18933538174,quat-ban-senko-b1612-mau-den-cam-active.webp
Quạt Bàn Senko B1616,b1616,,quat,ban,,quat-ban-senko-b1616,310.000 đ,Kem Môn - Cốm - Kem Nâu,39,47,3,Không,Không,64.4,64,https://shopee.vn/Qu%E1%BA%A1t-B%C3%A0n-Senko-B1616-i.837796096.16381924343,quat-ban-senko-b1616-mau-com-active.webp
Quạt Bàn Senko BX1212,bx1212,,quat,ban,,quat-ban-senko-bx1212,310.000 đ,Đen cam - Đen két,20,28,3,Không,Không,23.9,54,https://shopee.vn/Qu%E1%BA%A1t-B%C3%A0n-Senko-BX1212-i.837796096.18633540628,quat-ban-senko-bx1212-mau-den-cam-active.webp
Quạt Bàn Đảo Senko BD1010,bd1010,,quat,bd,,quat-ban-dao-senko-bd1010,330.000 đ,Kem Môn - Kem Cốm - Kem Xám,25,40,3,Không,Không,37.7,40,https://shopee.vn/Qu%E1%BA%A1t-B%C3%A0n-%C4%90%E1%BA%A3o-Senko-BD1010-i.837796096.19333543531,quat-ban-dao-senko-bd1010-mau-kem-com-active.webp
Quạt Bàn Đảo Senko BD1012,bd1012,,quat,bd,,quat-ban-dao-senko-bd1012,310.000 đ,Kem Môn - Kem Cốm - Kem Xám,30,40,3,Không,Không,28.4,40,https://shopee.vn/Qu%E1%BA%A1t-B%C3%A0n-%C4%90%E1%BA%A3o-Senko-BD1012-i.837796096.21033543414,quat-ban-dao-senko-bd1012-mau-kem-com-active.webp
Quạt Bàn Đảo Senko BD1410,bd1410,,quat,bd,,quat-ban-dao-senko-bd1410,450.000 đ,Kem Cốm - Kem Môn - Kem Xám,34,47,3,Không,Không,59.5,54,https://shopee.vn/Qu%E1%BA%A1t-B%C3%A0n-%C4%90%E1%BA%A3o-Senko-BD1410-i.837796096.17181925894,quat-ban-dao-senko-bd1410-mau-kem-com-active.webp
Quạt Bàn Đảo Senko BD230,bd230,,quat,bd,,quat-ban-dao-senko-bd230,220.000 đ,Kem Cốm - Xanh Ngọc - Kem Xám - Kem Môn,20,28,5,Không,Không,17,32,https://shopee.vn/Qu%E1%BA%A1t-B%C3%A0n-%C4%90%E1%BA%A3o-Senko-BD230-i.837796096.20133545148,quat-ban-dao-senko-bd230-mau-kem-com-active.webp
Quạt Đứng Senko DCN1806,dcn1806,,quat,dung,,quat-dung-senko-dcn1806,485.000 đ,Đen Cam - Đen Két,43,65,5,Không,Không,89,112 - 124,https://shopee.vn/Qu%E1%BA%A1t-%C4%90%E1%BB%A9ng-Senko-DCN1806-i.837796096.18133548029,quat-dung-senko-dcn1806-mau-den-cam-active.webp
Quạt Đứng Senko DCN1808,dcn1808,,quat,dung,,quat-dung-senko-dcn1808,650.000 đ,Đen Cam - Đen Két,43,65,5,Không,Không,89,112 - 123,,quat-dung-senko-dcn1808-mau-den-cam-active.webp
Quạt Đứng Senko DD1602,dd1602,,quat,dung,,quat-dung-senko-dd1602,500.000 đ,Kem Môn - Kem Nâu - Xám Đồng,39,47,3,Không,Không,64.4,98 - 117,https://shopee.vn/Qu%E1%BA%A1t-%C4%90%E1%BB%A9ng-Senko-DD1602-i.837796096.19033548745,quat-dung-senko-dd1602-mau-kem-mon-active.webp
Quạt Đứng Senko DH1600,dh1600,,quat,dung,,quat-dung-senko-dh1600,420.000 đ,Xám Đồng - Cốm,39,47,3,Có,Không,64.4,109 - 123,https://shopee.vn/Qu%E1%BA%A1t-%C4%90%E1%BB%A9ng-Senko-DH1600-i.837796096.21033549742,quat-dung-senko-dh1600-mau-xam-dong-active.webp
Quạt Đứng Senko DR1608,dr1608,,quat,dung,,quat-dung-senko-dr1608,700.000 đ,Kem Môn - Kem Cốm - Kem Nâu - Xám Đồng,39,65,7,Có,Có,88.6,116 - 128,https://shopee.vn/Qu%E1%BA%A1t-%C4%90%E1%BB%A9ng-Senko-DR1608-i.837796096.14691110908,quat-dung-senko-dr1608-mau-kem-com-active.webp
Quạt Đứng Senko DTS1607,dts1607,,quat,dung,,quat-dung-senko-dts1607,420.000 đ,Đen Cam - Đen Két,39,65,7,Không,Không,88.6,108 - 121,https://shopee.vn/Qu%E1%BA%A1t-%C4%90%E1%BB%A9ng-Senko-DTS1607-i.837796096.21133550633,quat-dung-senko-dts1607-mau-den-cam-active.webp
Quạt Đứng Senko DTS1609,dts1609,,quat,dung,,quat-dung-senko-dts1609,450.000 đ,Đen Cam - Đen Két,39,60,5,Không,Không,83.8,108 - 121,https://shopee.vn/Qu%E1%BA%A1t-%C4%90%E1%BB%A9ng-Senko-DTS1609-i.837796096.20133550954,quat-dung-senko-dts1609-mau-den-cam-active.webp
Quạt Hút Senko H100,h100,,quat,hut,,quat-hut-senko-h100,190.000 đ,Trắng,10,25,7,Không,Không,27,,https://shopee.vn/Qu%E1%BA%A1t-H%C3%BAt-Senko-H100-i.837796096.20333554449,quat-hut-senko-h100-active.webp
Quạt Hút Senko H150,h150,,quat,hut,,quat-hut-senko-h150,265.000 đ,Trắng,15,30,6,Không,Không,32,,https://shopee.vn/Qu%E1%BA%A1t-H%C3%BAt-Senko-H150-i.837796096.17381929548,quat-hut-senko-h150-active.webp
Quạt Hút Senko H200,h200,,quat,hut,,quat-hut-senko-h200,280.000 đ,Trắng,20,35,6,Không,Không,37,,https://shopee.vn/Qu%E1%BA%A1t-H%C3%BAt-Senko-H200-i.837796096.21533557360,quat-hut-senko-h200-active.webp
Quạt Hút Senko H250,h250,,quat,hut,,quat-hut-senko-h250,289.000 đ,Trắng,25,40,6,Không,Không,42,,https://shopee.vn/Qu%E1%BA%A1t-H%C3%BAt-Senko-H250-i.837796096.20033558691,quat-hut-senko-h250-active.webp
Quạt Hút Senko HT150,ht150,,quat,hut,,quat-hut-senko-ht150,265.000 đ,Trắng,15,30,6,Không,Không,32,,https://shopee.vn/Qu%E1%BA%A1t-H%C3%BAt-Senko-HT150-i.837796096.20133562098,quat-hut-senko-ht150-active.webp
Quạt Hút Senko HT200,ht200,,quat,hut,,quat-hut-senko-ht200,280.000 đ,Trắng,20,35,6,Không,Không,37,,https://shopee.vn/Qu%E1%BA%A1t-H%C3%BAt-Senko-HT200-i.837796096.16881931113,quat-hut-senko-ht200-active.webp
Quạt Hút Senko HT250,ht250,,quat,hut,,quat-hut-senko-ht250,289.000 đ,Trắng,25,40,6,Không,Không,42,,https://shopee.vn/Qu%E1%BA%A1t-H%C3%BAt-Senko-HT250-i.837796096.20833563599,quat-hut-senko-ht250-active.webp
Quạt Lửng Senko L1638,l1638,,quat,lung,,quat-lung-senko-l1638,330.000 đ,Kem Cốm - Kem Môn - Kem Nâu - Xám Đồng - Xanh Ngọc,39,47,3,Không,Không,64.4,77 - 95,https://shopee.vn/Qu%E1%BA%A1t-L%E1%BB%ADng-Senko-L1638-i.837796096.18333966065,quat-lung-senko-l1638-mau-kem-com-active.webp
Quạt Lửng Senko LS1630,ls1630,,quat,lung,,quat-lung-senko-ls1630,350.000 đ,Cốm - Kem Nâu - Xám Đồng,39,47,3,Không,Không,64.4,80 - 97,https://shopee.vn/Qu%E1%BA%A1t-L%E1%BB%ADng-Senko-LS1630-i.837796096.18333966643,quat-lung-senko-ls1630-mau-com-active.webp
Quạt Lửng Senko LTS1632,lts1632,,quat,lung,,quat-lung-senko-lts1632,430.000 đ,Đen Cam - Đen Két,39,60,5,Không,Không,83.8,86 - 96,https://shopee.vn/Qu%E1%BA%A1t-L%E1%BB%ADng-Senko-LTS1632-i.837796096.21033966659,quat-lung-senko-lts1632-mau-den-cam-active.webp
Quạt Lửng Senko LTS1636,lts1636,,quat,lung,,quat-lung-senko-lts1636,399.000 đ,Đen Cam - Đen Két,39,65,7,Không,Không,88.6,86 - 96,https://shopee.vn/Qu%E1%BA%A1t-L%E1%BB%ADng-Senko-LTS1636-i.837796096.18533968010,quat-lung-senko-lts1636-mau-den-cam-active.webp
Quạt Treo Senko T1680,t1680,,quat,treo,,quat-treo-senko-t1680,300.000 đ,Kem Nâu - Kem Cốm - Kem Môn - Xanh Ngọc,39,47,3,Không,Không,64.4,,https://shopee.vn/Qu%E1%BA%A1t-Treo-Senko-T1680-i.837796096.19833959959,quat-treo-senko-t1680-mau-kem-com-active.webp
Quạt Treo Senko TC16,tc16,,quat,treo,,quat-treo-senko-tc16,350.000 đ,Đen Cam,39,47,5,Không,Không,61.3,,https://shopee.vn/Qu%E1%BA%A1t-Treo-Senko-TC16-i.837796096.20933960286,quat-treo-senko-tc16-mau-den-cam-active.webp
Quạt Treo Senko TC1620,tc1620,,quat,treo,,quat-treo-senko-tc1620,375.000 đ,Kem Cốm - Kem Môn - Kem Nâu - Xám Đồng - Xanh Ngọc,39,65,7,Không,Không,88.6,,https://shopee.vn/Qu%E1%BA%A1t-Treo-Senko-TC1620-i.837796096.20633960670,quat-treo-senko-tc1620-mau-kem-com-active.webp
Quạt Treo Senko TC1622,tc1622,,quat,treo,,quat-treo-senko-tc1622,385.000 đ,Đen Cam - Đen Két - Kem Môn,39,65,7,Không,Không,88.6,,https://shopee.vn/Qu%E1%BA%A1t-Treo-Senko-TC1622-i.837796096.19533961630,quat-treo-senko-tc1622-mau-den-cam-active.webp
Quạt Treo Senko TC1626,tc1626,,quat,treo,,quat-treo-senko-tc1626,330.000 đ,Kem Cốm - Kem Môn - Xám Đồng - Kem Nâu - Xanh Ngọc,39,47,3,Không,Không,64.1,,https://shopee.vn/Qu%E1%BA%A1t-Treo-Senko-TC1626-i.837796096.18033962267,quat-treo-senko-tc1626-mau-kem-com-active.webp
Quạt Treo Senko TC1880,tc1880,,quat,treo,,quat-treo-senko-tc1880,430.000 đ,Đen Cam - Kem Nâu,43,65,5,Không,Không,89,,https://shopee.vn/Qu%E1%BA%A1t-Treo-Senko-TC1880-i.837796096.20833962353,quat-treo-senko-tc1880-mau-den-cam-active.webp
Quạt Treo Senko TC1882,t1882,,quat,treo,,quat-treo-senko-tc1882,420.000 đ,Đen Cam,43,65,5,Không,Không,89,,https://shopee.vn/Qu%E1%BA%A1t-Treo-Senko-TC1882-i.837796096.20533962897,quat-treo-senko-t1882-mau-den-cam-active.webp
Quạt Treo Senko TC1886,tc1886,,quat,treo,,quat-treo-senko-tc1886,440.000 đ,Đen Cam - Đen Két,43,65,5,Không,Không,89,,https://shopee.vn/Qu%E1%BA%A1t-Treo-Senko-TC1886-i.837796096.18633963629,quat-treo-senko-tc1886-mau-den-cam-active.webp
Quạt Treo Senko TR1628,tr1628,,quat,treo,,quat-treo-senko-tr1628,480.000 đ,Xanh Ngọc - Xám Đồng - Kem Nâu - Kem Môn - Kem Cốm,39,47,3,Có,Có,64.1,,https://shopee.vn/Qu%E1%BA%A1t-Treo-Senko-TR1628-i.837796096.15491166472,quat-treo-senko-tr1628-mau-kem-com-active.webp
Quạt Treo Senko TR1683,tr1683,,quat,treo,,quat-treo-senko-tr1683,480.000 đ,Kem Cốm - Kem Nâu - Xám Đồng - Kem Môn,39,47,3,Có,Có,64.4,,https://shopee.vn/Qu%E1%BA%A1t-Treo-Senko-TR1683-i.837796096.19133964964,quat-treo-senko-tr1683-mau-kem-com-active.webp
